objectid,filename,location,othernames,city,prefecture,subject,description,latitude,longitude,format,creator,rights,date
nag011,OkazakiCastle.jpg,Okazaki Castle,,Okazaki,Aichi,History,"Just a fun phone booth at Okazaki Castle. This castle is where Tokugawa Ieyasu was born. There is even a little mound where the placenta is buried from his birth. This was a common practice during that time because they were believed to be linked to the child's destiny. The castle itself is pretty standard for rebuilt ones, but the museum there is very good, just a lot of reading. One of my fondest memories there is eating dango as big as my head while sitting next to the moat during a sakura festival. The whole castle and area by the river was decorated for the blossoms. I also got to have some outstanding inarizushi while there. Nearby is also a hatcho miso factory. It's called hatcho because that is how far it was from the castle when invented. This type of red miso is one of Nagoya's, if not its most famous, products. And I can say why, I love this type of miso the most for its earthy richness and appeasing color.  ",34.95648,137.15876,image/jpeg,Philip McCarty,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",2020
nag012,TadoTaisha.jpg,Tado Taisha,Tado Shrine,Kuwana,Mie,Temple/Shrine,"Tado Taisha is the home of Amatsuhikone no Mikoto, a god of industry, along with the kami of the mountain itself. The main building is tucked away in a little vale with running water running through it. Tado holds a special place in my heart because Sean and I would bike here from Ichinomiya along the Kiso River. It was a chance for us to blow off steam from work and just hang out. There is a little takoyaki window in a family house near the shrine that we would always stop at for their tasty treats. We also would often hike up into the mountain along a little road and one time heard a frog that sounded like a stereo. There was also a spot in the river where we could swim around and cool off. Next to it was a beautiful waterfall that seemed to descend straight from the sky. At the foot of it were often offerings of daikon and sake. We usually came here in summer, so the sound of cicadas and the huge clouds rising up often remind me of our journeys. ",35.13464,136.62392,image/jpeg,Philip McCarty,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",2020
nag013,Ooricho.jpg,Ooricho,Man Demon Village,Hikone,Shiga,History,"Lyric suggested this place and it ended up being an unbelievably memorable day. Many towns in the mountains have become abandoned in recent years and this town,Ooricho, is one of them that was recommended by his professor as a place worth visiting. And it was. We hiked up from a station in the middle of a field along some poor roads that wound along the mountainside. On our way up we came across some birders who were very friendly. Right before reaching the village we saw what was probably a tanuki which made my day, thos adorable little rascals. We also saw a badger and a monkey skull later on. The village was filled with many thatch roofed houses like the one in this picture. A house like that is my dream house. From the village we had to hike up quite a bit to reach a jinja dedicated to Izanagi which is still actively used and upkept today despite its difficulty to reach. During this time I was struggling with whether or not to stay in Japan, and it was at this shrine that I was able to gain some clarity and decide to stay. Another memorable moment was when we discovered that I had been bitten by a leech and that leeches live in the woods in Japan. I ended up bleeding for three hours thanks to the little sucker, but boy was it memorable. We ended up walking about 12 miles that day due to a lack of buses on our way back down. ",35.27358,136.32809,image/jpeg,Philip McCarty,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",2020
nag014,NanguTaisha.jpg,Nangu Taisha,,Tarui,Gifu,"Temple/Shrine, Industry","Nangu Taisha is an ancient shrine first established between 97BC and 30BC. Most of the current buildings date from 1642 when they were rebuilt after the Battle of Sekigahara. The kami enshrined here is Kanayama-hiko-no-mikoto, the kami of mining and metalworking. This shrine is pretty cool and made for a nice half day trip when I didn't feel like going too far. In the shrine precinct are loads of metal tools on plaques that worshippers have given in thanks. Behind the shrine is a nice hike to a view where some armies had waited before the Battle of Sekigahara. From the top it's possible to see a large amount of the Owari Plain and even Ichinomiya. A fond memory I have here is going through the museum and learning about the objects from the friendly old man. ",35.36088,136.525,image/jpeg,Philip McCarty,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",2020
nag015,YoronoTaki.jpg,Yoro no Taki,Yoro Falls,Yoro,Gifu,"History, Nature","Yoro Falls is a famous waterfall due to the following story. A n old man and his son were surviving by cutting wood and selling it. Eventually, the old man couldn't cut anymore, so his son had to work even harder. One day when he was out in the woods he came across a waterfall that was spilling forth sake. He knew his dad loved sake, so he filled the gourd and brought it to him every day. Eventually the emperor heard of this and came for a visit. The story of filial piety is well remembered and everything in the area seems to have a gourd on it as merchandising. I got a nice pair of black chopsticks with the gourd on them from the ticket booth at Yoro Park, a funky park where the ground slopes and everything is meant to be explored. It's basically an art park where nothing is off limits. I remember hiking to the top of the mountain one time and you could see all the way to Shiga, even through the misty clouds blowing around me. ",35.28056,136.53424,image/jpeg,Philip McCarty,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",2020
nag016,ToyokawaInari.jpg,Toyokawa Inari,"Myogon-ji, Myogonji",Toyokawa,Aichi,Temple/Shrine,"Toyokawa Inari is a Buddhist temple but has a large dedication of Shinto kami. Before the shinbutsu bunri(separation of Shinto and Buddhism) in the Meiji Period, this was a common practice everywhere. Yet even when the edict was passed, many places of worship just changed the names of buildings without changing their use. This temple is neat because it has the classic temple approach with many shops lining both sides of the road. There were loads of inarizushi places that were just fantastic with all sorts of flavors. I enjoyed this temple a lot because of how the statues were all in the back, where a wooded forest stood, right in the middle of the city!   ",34.8248,137.39199,image/jpeg,Philip McCarty,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",2021
nag017,GujoCastle.jpg,Gujo Castle,,Gujo,Gifu,History,"Gujo castle is a reconstruction as most castles are in Japan. They're neat, but I prefer the cold hardwood floor ones where you have to take your shoes off. The approach to it is rather cool though, making use of the naturally hilly landscape for defenses. There is a story here about a Yamauchi Chiyo, who spent all her money on a wonderful horse that led to her husband, Yamauchi Kazutoyo's promotion. She is often regarded as the reason for her husband's success. A surprising connection I found when traveling was that Kazutoyo built Kochi castle. It's amazing to me how much cross over there is with people over hundreds of miles. In the town below I had an outstanding meal of Gujo miso hotpot with all sorts of fresh veggies. Hotpots are really fantastic. There is a very beautiful and whimsical art museum of Masao Mizuno's works. He often draws woodland critters doing cute things. He also is the designer for the Bon Odori dances. ",35.75321,136.9614,image/jpeg,Philip McCarty,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",2020
nag018,Sekigahara.jpg,Sekigahara,,Sekigahara,Gifu,"History, Nature","Sekigahara is a turning point in Japanese history and led to the unification of the country in 1600 once Ishida Mitsunari was defeated by Tokugawa Ieyasu. I have had so much fun here biking around. There is a great bike map that leads to many of the spots where armies were located and gives a really experiential learning opportunity. The museum here is also very informative and lets you pose like a warlord and showcases the unique differences between eastern and western Japan, like how they make their rice balls or how holidays are celebrated. It also has stuff not related to the battle and I fondly remember going into the cave with Miguel and being surprised by bats, and then exploring the old WWII era bunkers. Tucked away is also a rock where Takeru no Mikoto sat. There are a surprising amount of locations in Japan that are remembered as being spots where people sit, and I enjoyed getting to sit on them. ",35.36138,136.45325,image/jpeg,Philip McCarty,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",2021
nag019,WadaHouse.jpg,Wada House,,Shirakawa-go,Gifu,History,"The iconinc gassho-zukuri style houses of Shirakawago are unbelievably beautiful anytime of the year, but in the deep snow they appear to be poems written by nature and humans working in tandem. The gassho-zukuri style is called that because the houses look like hands in prayer. When I first came here, it was a rushed trip and kind of soggy, but when I snagged this picture it was a total blast. I came with Lyric, Miguel, his mom, and Camilo. We all just had so much fun, like building a snowman then using bottle caps and leaves to decorate him, and eating delicious soup. A neat thing about the houses is that they once raised silkworms in them! ",36.25994,136.9076,image/jpeg,Philip McCarty,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",2021
nag020,IbukiSan.jpg,Ibukisan,Mount Ibuki,Maibara,Shiga,"Nature, Temple/Shrine","On the second ascent of Ibuki I got the outstanding clear view. The previous time, I went with Lyric and Sean. We explored the abandoned ski hotel and saw a snake. The interior was very spooky, but the sento inside had an outstanding view, too bad it is now just covered in vines and no warm water. Ibuki is another of my favorite mountains in Japan and one I often marveled at from Ichinomiya. It helped to ground me when I felt stressed, to be able to look and see its always changing appearance with the weather and time of day. It's a great day hike climb with varied terrain and awesome views from the top. There is also loads of mythology going on with it, which I am just in love with. 1.The oni leader, Shuten Doji, made his lair in a rocky craggy area near the top. 2. The mountain god wanted to be the tallest in the area, so he chopped all the other mountains down to be smaller than him. 3. Yamato Takeru once tried climbing it to kill the god. As he climbed he saw a white boar which he shot at, but decided to let live since he thought it was just a messenger. Turned out it was the god. As he climbed the weather got much worse and forced him to turn back, and as he did he got bit by a snake. This led to him dying. ",35.4212,136.40344,image/jpeg,Philip McCarty,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",
